AuthorCourse,AuthorID,Cluster,Subject,ClassSize,TrtType,Treatment,CourseLevel,TrtIntensity,stdExam,PercMGS,MGSgroup,MGS
1,1,100,Biology,Medium,Flipped,Active,Upper,High,0.055737546,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,-1.207646819,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,0.371583637,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,-1.207646819,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,1.161198865,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,-1.207646819,0.158730159,URM,1
1,1,100,Biology,Medium,Flipped,Active,Upper,High,1.634968002,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,-0.891800728,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,-0.418031591,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,0.371583637,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,-1.523492911,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,-2.786877276,0.158730159,URM,1
1,1,100,Biology,Medium,Flipped,Active,Upper,High,1.161198865,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,0.687429728,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,0.371583637,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,0.529506682,0.158730159,URM,1
1,1,100,Biology,Medium,Flipped,Active,Upper,High,1.003275819,0.158730159,URM,1
1,1,100,Biology,Medium,Flipped,Active,Upper,High,-1.523492911,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,-0.891800728,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,-1.049723774,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,-0.575954637,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,0.687429728,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,-0.1021855,0.158730159,URM,1
1,1,100,Biology,Medium,Flipped,Active,Upper,High,0.055737546,0.158730159,nonURM,0
1,1,100,Biology,Medium,Flipped,Active,Upper,High,1.161198865,0.158730159,nonURM,0
