AuthorCourse,AuthorID,Cluster,PercMGS,Subject,SubjectNew,ClassSize,CourseLevel,TrtType,TrtIntensity,Treatment,MGSgroup,MGS,Pass,DFW,TotStuTypePerSection,PercPass
1,1,10,0.149253731,Biology,Biology,Medium,Upper,Flipped,High,Active,NonURM,0,45,12,57,0.789473684
1,1,10,0.149253731,Biology,Biology,Medium,Upper,Flipped,High,Active,URM,1,9,1,10,0.9
1,1,11,0.306666667,Biology,Biology,Medium,Upper,Passive,Passive,Passive,NonURM,0,44,8,52,0.846153846
1,1,11,0.306666667,Biology,Biology,Medium,Upper,Passive,Passive,Passive,URM,1,16,7,23,0.695652174
2,2,20,0.276497696,Biology,Biology,Large,Intro,Flipped,High,Active,NonURM,0,152,5,157,0.968152866
2,2,20,0.276497696,Biology,Biology,Large,Intro,Flipped,High,Active,URM,1,56,4,60,0.933333333
2,2,21,0.205882353,Biology,Biology,Large,Intro,Passive,Passive,Passive,NonURM,0,161,1,162,0.99382716
2,2,21,0.205882353,Biology,Biology,Large,Intro,Passive,Passive,Passive,URM,1,37,5,42,0.880952381
3,3,30,0.200854701,Biology,Biology,Large,Intro,Combination,Low,Active,NonURM,0,185,2,187,0.989304813
3,3,30,0.200854701,Biology,Biology,Large,Intro,Combination,Low,Active,URM,1,42,5,47,0.893617021
3,3,31,0.207964602,Biology,Biology,Large,Intro,Passive,Passive,Passive,NonURM,0,163,16,179,0.910614525
3,3,31,0.207964602,Biology,Biology,Large,Intro,Passive,Passive,Passive,URM,1,33,14,47,0.70212766
4a,4,1000,0.164948454,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,NonURM,0,132,30,162,0.814814815
4a,4,1000,0.164948454,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,URM,1,18,14,32,0.5625
4a,4,1001,0.143426295,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,NonURM,0,627,233,860,0.729069767
4a,4,1001,0.143426295,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,URM,1,89,55,144,0.618055556
4a,4,1002,0.153987168,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,NonURM,0,712,211,923,0.771397616
4a,4,1002,0.153987168,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,URM,1,105,63,168,0.625
4a,4,1003,0.146106737,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,NonURM,0,741,235,976,0.759221311
4a,4,1003,0.146106737,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,URM,1,95,72,167,0.568862275
4a,4,1004,0.141700405,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,NonURM,0,834,226,1060,0.786792453
4a,4,1004,0.141700405,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,URM,1,119,56,175,0.68
4a,4,1005,0.110880829,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,NonURM,0,639,219,858,0.744755245
4a,4,1005,0.110880829,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,URM,1,56,51,107,0.523364486
4a,4,1006,0.110122358,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,NonURM,0,592,208,800,0.74
4a,4,1006,0.110122358,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,URM,1,53,46,99,0.535353535
4a,4,1007,0.1875,Physics,Physics&Astronomy,Small,Intro,Combination,High,Active,NonURM,0,34,5,39,0.871794872
4a,4,1007,0.1875,Physics,Physics&Astronomy,Small,Intro,Combination,High,Active,URM,1,9,0,9,1
4a,4,1008,0.143292683,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,NonURM,0,421,141,562,0.74911032
4a,4,1008,0.143292683,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,URM,1,54,40,94,0.574468085
4a,4,1009,0.117647059,Physics,Physics&Astronomy,Medium,Intro,Combination,High,Active,NonURM,0,79,11,90,0.877777778
4a,4,1009,0.117647059,Physics,Physics&Astronomy,Medium,Intro,Combination,High,Active,URM,1,10,2,12,0.833333333
4a,4,1010,0.127789047,Physics,Physics&Astronomy,Small,Intro,Passive,Passive,Passive,NonURM,0,314,116,430,0.730232558
4a,4,1010,0.127789047,Physics,Physics&Astronomy,Small,Intro,Passive,Passive,Passive,URM,1,40,23,63,0.634920635
4a,4,1011,0.090909091,Physics,Physics&Astronomy,Medium,Intro,Combination,High,Active,NonURM,0,41,9,50,0.82
4a,4,1011,0.090909091,Physics,Physics&Astronomy,Medium,Intro,Combination,High,Active,URM,1,5,0,5,1
4a,4,1012,0.091811414,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,NonURM,0,260,106,366,0.710382514
4a,4,1012,0.091811414,Physics,Physics&Astronomy,Large,Intro,Passive,Passive,Passive,URM,1,23,14,37,0.621621622
4a,4,1013,0.095238095,Physics,Physics&Astronomy,Small,Intro,Passive,Passive,Passive,NonURM,0,8,11,19,0.421052632
4a,4,1013,0.095238095,Physics,Physics&Astronomy,Small,Intro,Passive,Passive,Passive,URM,1,0,2,2,0
4a,4,1014,0.102040816,Physics,Physics&Astronomy,Medium,Intro,Combination,High,Active,NonURM,0,203,17,220,0.922727273
4a,4,1014,0.102040816,Physics,Physics&Astronomy,Medium,Intro,Combination,High,Active,URM,1,21,4,25,0.84
4a,4,1015,0.090909091,Physics,Physics&Astronomy,Medium,Intro,Passive,Passive,Passive,NonURM,0,51,19,70,0.728571429
4a,4,1015,0.090909091,Physics,Physics&Astronomy,Medium,Intro,Passive,Passive,Passive,URM,1,4,3,7,0.571428571
4a,4,1016,0.152173913,Physics,Physics&Astronomy,Medium,Intro,Combination,High,Active,NonURM,0,67,11,78,0.858974359
